step,model,assigned_layer,server_id,datarate,sinr,ping_ms,speed,rsrp_dbm,rssi_dbm,jitter,cpu_demand,memory_demand,latency_ms,processing_latency_ms,base_latency_ms,distance,energy_consumption,cost,degraded
55,gradient_boosting,Cloud,7,4930000.0,10.586498949311046,14793.112514013274,7.366705461479338,-118.98242232947833,-86.3577884300495,0.003190818752885595,4,736,201.7502484108857,0.02,201.73024841088568,151.73024841088568,15.5,0.001388888888888889,False
56,gradient_boosting,Cloud,7,4350000.0,10.678128481762373,21669.462019993807,6.682578193882394,-118.75137424003817,-85.10093813570192,0.0047021907176291785,4,668,201.67099620420046,0.02,201.65099620420045,151.65099620420045,15.54,0.001388888888888889,False
57,gradient_boosting,Cloud,7,4880000.0,9.253023153008254,24988.553530423203,5.676348167038692,-120.20839533513019,-86.41251757256389,0.004729054856984449,4,567,200.94956156322365,0.02,200.92956156322364,150.92956156322364,15.58,0.001388888888888889,False
58,gradient_boosting,Cloud,7,3610000.0,8.067319513384389,22286.15622425626,5.388234746866141,-118.6531301346629,-86.47033709331423,0.005910081157255244,3,538,202.4141645784279,0.015000000000000001,202.3991645784279,152.3991645784279,15.620000000000001,0.001388888888888889,False
59,gradient_boosting,Cloud,7,3720000.0,9.009825307989772,21803.33035078521,5.218139036498992,-119.33075223305782,-85.93444639337909,0.0031458813415675938,3,521,202.3925260321085,0.015000000000000001,202.3775260321085,152.3775260321085,15.65,0.001388888888888889,False
60,gradient_boosting,Cloud,7,3960000.0,8.447616915003888,17298.420063868776,4.934961897783376,-121.0561235390983,-85.68718032933471,0.0047304716058063434,3,493,201.53218787625477,0.015000000000000001,201.51718787625478,151.51718787625478,15.68,0.001388888888888889,False
61,gradient_boosting,Cloud,7,1600000.0,9.867849601428006,23762.56823213853,4.248384734145752,-120.34214392507957,-86.25486859119053,0.005580115562734619,1,424,201.13518475491338,0.005,201.1301847549134,151.1301847549134,15.709999999999999,0.001388888888888889,False
62,gradient_boosting,Cloud,7,3670000.0,8.474656186110948,20850.01674136475,3.888718586599709,-119.56916487910215,-85.0526386824843,0.008064584640274713,3,388,200.31218499474866,0.015000000000000001,200.29718499474868,150.29718499474868,15.72,0.001388888888888889,False
63,gradient_boosting,Cloud,7,4290000.0,9.500439408804361,20745.387763894025,3.4859333442494993,-118.0132259470999,-86.31540464748683,0.003300522595868729,4,348,203.38353759237935,0.02,203.36353759237934,153.36353759237934,15.75,0.001388888888888889,False
64,gradient_boosting,Cloud,7,6400000.0,9.744755225804155,19969.641879695166,3.055505108118895,-119.78026225914785,-85.64720339528236,0.002965359879404383,6,305,202.39415540741317,0.030000000000000002,202.36415540741316,152.36415540741316,15.79,0.001388888888888889,False
65,gradient_boosting,Cloud,7,7170000.0,9.777571292063715,20522.212809200162,2.5108424532910845,-117.60257222941361,-86.31284404812506,0.001546113277592658,7,251,201.3070195984863,0.034999999999999996,201.2720195984863,151.2720195984863,15.85,0.001388888888888889,False
66,gradient_boosting,Cloud,7,6100000.0,9.243098517567008,19686.413820487185,2.423915772727149,-118.95009774552867,-84.34679009393852,0.003291116176607424,6,242,202.60158568964349,0.030000000000000002,202.57158568964348,152.57158568964348,15.92,0.001388888888888889,False
67,gradient_boosting,Cloud,7,6210000.0,9.996901864776316,19341.605532208865,2.750765093413013,-118.39395768915995,-86.72710106399613,0.0019800649214197167,6,275,201.65935372950838,0.030000000000000002,201.62935372950838,151.62935372950838,15.98,0.001388888888888889,False
68,gradient_boosting,Cloud,7,4730000.0,9.439722664929645,22312.09902151576,2.861344077491,-119.26163942382342,-85.81920520463599,0.0031716932488915998,4,286,201.86807984816366,0.02,201.84807984816365,151.84807984816365,16.04,0.001388888888888889,False
69,gradient_boosting,Cloud,7,5660000.0,10.244343888390839,19862.578139760724,2.808475270463998,-120.65187236729238,-84.75392848004373,0.0032831891223389564,5,280,202.94294896156612,0.025,202.9179489615661,152.9179489615661,16.080000000000002,0.001388888888888889,False
70,gradient_boosting,Cloud,7,5750000.0,8.380643479956646,19746.24109958098,2.0981455413493353,-119.3469708285484,-86.21127333650378,0.0030255195356166348,5,209,203.78346105529448,0.025,203.75846105529448,153.75846105529448,16.13,0.001388888888888889,False
71,gradient_boosting,Cloud,7,6190000.0,8.59292416677941,15206.892379070945,2.5770419069013166,-119.00273787531363,-85.41810399914084,0.003468450554398766,6,257,202.88626675897368,0.030000000000000002,202.85626675897367,152.85626675897367,16.18,0.001388888888888889,False
72,gradient_boosting,Cloud,7,6650000.0,10.610968143883934,17443.133460338333,2.4229505276431187,-120.08912264988889,-86.16319523600046,0.00426061768724806,6,242,202.866254258278,0.030000000000000002,202.836254258278,152.836254258278,16.240000000000002,0.001388888888888889,False
73,gradient_boosting,Cloud,7,4430000.0,9.134743903231469,17013.062289360754,2.2412635732342316,-118.41141943932688,-84.86452709439679,0.0028700169993654376,4,224,200.66214887459893,0.02,200.64214887459892,150.64214887459892,16.299999999999997,0.001388888888888889,False
74,gradient_boosting,Cloud,7,5060000.0,9.440172207495742,18658.154063451122,2.1311456441074723,-120.27805021789136,-83.95578604823379,0.0024534174236364313,5,213,202.6898970983904,0.025,202.66489709839038,152.66489709839038,16.34,0.001388888888888889,False
75,gradient_boosting,Cloud,7,4900000.0,8.800835960590605,18066.94319484433,1.847810503189996,-119.44836646768861,-86.08106900991535,0.0028519048084692878,4,184,201.12670627598692,0.02,201.1067062759869,151.1067062759869,16.389999999999997,0.001388888888888889,False
76,gradient_boosting,Cloud,7,2440000.0,8.77261570972702,18241.50388970159,1.7948036500693518,-119.16884240620006,-86.51329093415045,0.005778627750728357,2,179,203.76799081918816,0.01,203.75799081918817,153.75799081918817,16.43,0.001388888888888889,False
77,gradient_boosting,Cloud,7,2880000.0,9.827703874590135,17291.564399749466,1.938451416993394,-121.42350617794217,-85.46759229361028,0.004366316536694113,2,193,202.33273915908234,0.01,202.32273915908235,152.32273915908235,16.45,0.001388888888888889,False
78,gradient_boosting,Cloud,7,3760000.0,9.769254521483775,19360.12130180834,2.1209858440747045,-120.20143412908591,-84.71945098886063,0.003303544833655125,3,212,202.02802576192877,0.015000000000000001,202.0130257619288,152.0130257619288,16.47,0.001388888888888889,False
79,gradient_boosting,Cloud,7,4850000.0,9.574269660856947,20300.66450582329,1.874006985664178,-118.55078446965292,-85.61188533082328,0.004724032848707963,4,187,202.12981281407514,0.02,202.10981281407513,152.10981281407513,16.5,0.001388888888888889,False
80,gradient_boosting,Cloud,7,6360000.0,9.760269714486299,16677.645653103802,2.3357324128067316,-118.58665133511121,-84.66212337215063,0.0052253227801949634,6,233,202.12825766439602,0.030000000000000002,202.09825766439602,152.09825766439602,16.54,0.001388888888888889,False
81,gradient_boosting,Edge,1,4970000.0,9.808969573401644,18287.465187774353,1.882799192454741,-119.47305594652957,-87.06511263669267,0.005669797869625967,4,188,6.239549539538034,0.25,5.989549539538034,9.895495395380337,0.27499999999999997,0.0001388888888888889,False
82,gradient_boosting,Cloud,7,4860000.0,8.771672940123608,4304.043411117873,2.0540564382002304,-119.50573534466025,-85.56690750006742,0.0038258782273614734,4,205,203.3906184954171,0.02,203.3706184954171,153.3706184954171,16.6,0.001388888888888889,False
